GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
D. Wetlands (4),4713.813215994672,196.357210617,0.147050614,Summary1.As2,GERMANY,2021,Subsector,"4.  Land use, land-use change and forestry  (4)"
E. Settlements (4),1472.8867823780013,1.0144096,0.452842876,Summary1.As2,GERMANY,2021,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,-8651.279088904043,,,Summary1.As2,GERMANY,2021,Subsector,"4.  Land use, land-use change and forestry  (4)"
H. Other  (4),,,0.41046281,Summary1.As2,GERMANY,2021,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,91.934,,Summary1.As2,GERMANY,2021,Subsector,"4.  Land use, land-use change and forestry  (4)"
B.  Biological treatment of solid waste (5),,28.25158,0.6956358,Summary1.As2,GERMANY,2021,Subsector,"4.  Land use, land-use change and forestry  (4)"
C.  Incineration and open burning of waste (5),,,,Summary1.As2,GERMANY,2021,Subsector,"4.  Land use, land-use change and forestry  (4)"
