GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
D. Wetlands (4),3737.17783394267,194.301550807,0.137607081,Summary1.As2,GERMANY,2013,Subsector,"4.  Land use, land-use change and forestry  (4)"
E. Settlements (4),-952.2977598566675,0.884663741,0.464244676,Summary1.As2,GERMANY,2013,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,-2711.902518499943,,,Summary1.As2,GERMANY,2013,Subsector,"4.  Land use, land-use change and forestry  (4)"
H. Other  (4),,,0.356946113,Summary1.As2,GERMANY,2013,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,231.116,,Summary1.As2,GERMANY,2013,Subsector,"4.  Land use, land-use change and forestry  (4)"
B.  Biological treatment of solid waste (5),,25.29296,0.6443792,Summary1.As2,GERMANY,2013,Subsector,"4.  Land use, land-use change and forestry  (4)"
C.  Incineration and open burning of waste (5),,,,Summary1.As2,GERMANY,2013,Subsector,"4.  Land use, land-use change and forestry  (4)"
