GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),784068.6494655674,,,,,,,Summary1.As1,GERMANY,2007,Subsector,1. Energy
                                           Sectoral approach(2),793644.83333334,110.32581993,16.80524392,,,,,Summary1.As1,GERMANY,2007,Subsector,1. Energy
1.  Energy industries,385841.74538041,49.35614344,9.36689577,,,,,Summary1.As1,GERMANY,2007,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,125067.98866057,10.36727628,2.62700728,,,,,Summary1.As1,GERMANY,2007,Subsector,1. Energy
3.  Transport,152808.19281111,11.91961545,3.00340644,,,,,Summary1.As1,GERMANY,2007,Subsector,1. Energy
4.  Other sectors,128640.19004653,38.6192135,1.78950788,,,,,Summary1.As1,GERMANY,2007,Subsector,1. Energy
5.  Other,1286.71643472,0.06357126,0.01842655,,,,,Summary1.As1,GERMANY,2007,Subsector,1. Energy
B. Fugitive emissions from fuels,2988.73545542,412.7584688,0.00487753,,,,,Summary1.As1,GERMANY,2007,Subsector,1. Energy
1.  Solid fuels,813.3412975800001,194.67377556,,,,,,Summary1.As1,GERMANY,2007,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2175.39415784,218.08469324,0.00487753,,,,,Summary1.As1,GERMANY,2007,Subsector,1. Energy
