GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),710390.8011625339,,,,,,,Summary1.As1,GERMANY,2018,Subsector,1. Energy
                                           Sectoral approach(2),702781.84662507,156.34137156,17.8439184,,,,,Summary1.As1,GERMANY,2018,Subsector,1. Energy
1.  Energy industries,296659.25555258,91.31784894,8.23025957,,,,,Summary1.As1,GERMANY,2018,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,124001.40527891,11.55985894,2.77122478,,,,,Summary1.As1,GERMANY,2018,Subsector,1. Energy
3.  Transport,161509.41837081,9.46947124,5.30569687,,,,,Summary1.As1,GERMANY,2018,Subsector,1. Energy
4.  Other sectors,119888.03795922,43.93817715,1.52908929,,,,,Summary1.As1,GERMANY,2018,Subsector,1. Energy
5.  Other,723.72946355,0.05601529,0.00764789,,,,,Summary1.As1,GERMANY,2018,Subsector,1. Energy
B. Fugitive emissions from fuels,1998.10965537,163.30511198,0.00343754,,,,,Summary1.As1,GERMANY,2018,Subsector,1. Energy
1.  Solid fuels,665.01263711,66.600784,,,,,,Summary1.As1,GERMANY,2018,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,1333.09701826,96.70432798,0.00343754,,,,,Summary1.As1,GERMANY,2018,Subsector,1. Energy
