GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),661384.6830583672,,,,,,,Summary1.As1,GERMANY,2019,Subsector,1. Energy
                                           Sectoral approach(2),657793.16518471,156.78347673,16.67236354,,,,,Summary1.As1,GERMANY,2019,Subsector,1. Energy
1.  Energy industries,247363.99442121,92.72575883,6.93277591,,,,,Summary1.As1,GERMANY,2019,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,121411.40913585,11.52366675,2.72010386,,,,,Summary1.As1,GERMANY,2019,Subsector,1. Energy
3.  Transport,163150.61929854,9.45272656,5.48325387,,,,,Summary1.As1,GERMANY,2019,Subsector,1. Energy
4.  Other sectors,124979.2142238,43.02578542,1.52336982,,,,,Summary1.As1,GERMANY,2019,Subsector,1. Energy
5.  Other,887.92810531,0.05553917,0.01286008,,,,,Summary1.As1,GERMANY,2019,Subsector,1. Energy
B. Fugitive emissions from fuels,2019.44624277,92.00099469,0.00337985,,,,,Summary1.As1,GERMANY,2019,Subsector,1. Energy
1.  Solid fuels,649.9194510699999,6.18909017,,,,,,Summary1.As1,GERMANY,2019,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,1369.5267917,85.81190452,0.00337985,,,,,Summary1.As1,GERMANY,2019,Subsector,1. Energy
