GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),775522.6970590007,,,,,,,Summary1.As1,GERMANY,2013,Subsector,1. Energy
                                           Sectoral approach(2),783342.58175299,153.72194305,17.98786556,,,,,Summary1.As1,GERMANY,2013,Subsector,1. Energy
1.  Energy industries,365348.06114907,83.58021233,9.27763091,,,,,Summary1.As1,GERMANY,2013,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,116595.9153144,11.06379979,2.56158525,,,,,Summary1.As1,GERMANY,2013,Subsector,1. Energy
3.  Transport,157517.75381921,8.99494217,4.31774496,,,,,Summary1.As1,GERMANY,2013,Subsector,1. Energy
4.  Other sectors,142854.83702191,50.02557719,1.81929606,,,,,Summary1.As1,GERMANY,2013,Subsector,1. Energy
5.  Other,1026.0144484,0.05741157,0.01160838,,,,,Summary1.As1,GERMANY,2013,Subsector,1. Energy
B. Fugitive emissions from fuels,2688.9099579500003,300.67306836,0.00386006,,,,,Summary1.As1,GERMANY,2013,Subsector,1. Energy
1.  Solid fuels,706.96653082,143.20638386,,,,,,Summary1.As1,GERMANY,2013,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,1981.94342713,157.4666845,0.00386006,,,,,Summary1.As1,GERMANY,2013,Subsector,1. Energy
