GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),742863.4769292007,,,,,,,Summary1.As1,GERMANY,2016,Subsector,1. Energy
                                           Sectoral approach(2),751142.49370613,154.48161586,18.24374406,,,,,Summary1.As1,GERMANY,2016,Subsector,1. Energy
1.  Energy industries,329936.58823337,90.25653767,8.72163535,,,,,Summary1.As1,GERMANY,2016,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,127330.66640999,11.37048608,2.92996985,,,,,Summary1.As1,GERMANY,2016,Subsector,1. Energy
3.  Transport,164100.56410326,9.24956077,4.99609551,,,,,Summary1.As1,GERMANY,2016,Subsector,1. Energy
4.  Other sectors,128777.6913532,43.54828993,1.58212267,,,,,Summary1.As1,GERMANY,2016,Subsector,1. Energy
5.  Other,996.98360631,0.05674141,0.01392068,,,,,Summary1.As1,GERMANY,2016,Subsector,1. Energy
B. Fugitive emissions from fuels,2340.19016481,221.31557419,0.00393317,,,,,Summary1.As1,GERMANY,2016,Subsector,1. Energy
1.  Solid fuels,706.54737996,101.456759,,,,,,Summary1.As1,GERMANY,2016,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,1633.64278485,119.85881519,0.00393317,,,,,Summary1.As1,GERMANY,2016,Subsector,1. Energy
