GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),847959.2326289341,,,,,,,Summary1.As1,GERMANY,1998,Subsector,1. Energy
                                           Sectoral approach(2),863040.66982481,91.21865773,18.91752192109198,,,,,Summary1.As1,GERMANY,1998,Subsector,1. Energy
1.  Energy industries,356108.43844625,19.24627064,7.82076275,,,,,Summary1.As1,GERMANY,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,133286.86776651,9.34763581,2.98897524,,,,,Summary1.As1,GERMANY,1998,Subsector,1. Energy
3.  Transport,178509.30058648,24.51181601,6.03363407109198,,,,,Summary1.As1,GERMANY,1998,Subsector,1. Energy
4.  Other sectors,192111.97553962,37.93888608,1.99978286,,,,,Summary1.As1,GERMANY,1998,Subsector,1. Energy
5.  Other,3024.08748595,0.17404919,0.074367,,,,,Summary1.As1,GERMANY,1998,Subsector,1. Energy
B. Fugitive emissions from fuels,3168.25534567,978.09680717,0.00526758,,,,,Summary1.As1,GERMANY,1998,Subsector,1. Energy
1.  Solid fuels,847.01323676,629.74826165,,,,,,Summary1.As1,GERMANY,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2321.24210891,348.34854552,0.00526758,,,,,Summary1.As1,GERMANY,1998,Subsector,1. Energy
