GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),856069.7860557341,,,,,,,Summary1.As1,GERMANY,1997,Subsector,1. Energy
                                           Sectoral approach(2),869592.59344761,100.58630314,19.67531343146222,,,,,Summary1.As1,GERMANY,1997,Subsector,1. Energy
1.  Energy industries,353211.83296124,18.53053675,7.94010097,,,,,Summary1.As1,GERMANY,1997,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,137769.92895881,9.22678569,3.27020722,,,,,Summary1.As1,GERMANY,1997,Subsector,1. Energy
3.  Transport,175146.18128390002,26.8221991,6.08800662146222,,,,,Summary1.As1,GERMANY,1997,Subsector,1. Energy
4.  Other sectors,200451.61166586,45.81003239,2.30151771,,,,,Summary1.As1,GERMANY,1997,Subsector,1. Energy
5.  Other,3013.0385778,0.19674921,0.07548091,,,,,Summary1.As1,GERMANY,1997,Subsector,1. Energy
B. Fugitive emissions from fuels,3239.44812463,1081.45872098,0.00540178,,,,,Summary1.As1,GERMANY,1997,Subsector,1. Energy
1.  Solid fuels,907.5707552399999,727.3434511199999,,,,,,Summary1.As1,GERMANY,1997,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2331.8773693900002,354.11526986,0.00540178,,,,,Summary1.As1,GERMANY,1997,Subsector,1. Energy
