GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),823825.053408134,,,,,,,Summary1.As1,GERMANY,1999,Subsector,1. Energy
                                           Sectoral approach(2),837166.98344768,88.47650321,18.51702988109365,,,,,Summary1.As1,GERMANY,1999,Subsector,1. Energy
1.  Energy industries,344056.15320427,19.81375002,7.6050741,,,,,Summary1.As1,GERMANY,1999,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,130853.63887076,8.97382868,2.96999021,,,,,Summary1.As1,GERMANY,1999,Subsector,1. Energy
3.  Transport,183690.09194634,22.48035843,5.96856024109365,,,,,Summary1.As1,GERMANY,1999,Subsector,1. Energy
4.  Other sectors,175984.64173123,37.07497072,1.91310296,,,,,Summary1.As1,GERMANY,1999,Subsector,1. Energy
5.  Other,2582.45769508,0.13359536,0.06030237,,,,,Summary1.As1,GERMANY,1999,Subsector,1. Energy
B. Fugitive emissions from fuels,3113.16430258,1020.1842987599999,0.00501163,,,,,Summary1.As1,GERMANY,1999,Subsector,1. Energy
1.  Solid fuels,755.03511906,684.7523993,,,,,,Summary1.As1,GERMANY,1999,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2358.12918352,335.43189945999995,0.00501163,,,,,Summary1.As1,GERMANY,1999,Subsector,1. Energy
