GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,969.0086898690598,,Summary1.As2,GERMANY,2019,Subsector,3.  Agriculture
B.  Manure management,,259.85429336867367,9.40410313539574,Summary1.As2,GERMANY,2019,Subsector,3.  Agriculture
D.  Agricultural soils,,,64.90077208232861,Summary1.As2,GERMANY,2019,Subsector,3.  Agriculture
G. Liming,2038.8381472380986,,,Summary1.As2,GERMANY,2019,Subsector,3.  Agriculture
H. Urea application,497.748166666666,,,Summary1.As2,GERMANY,2019,Subsector,3.  Agriculture
I.  Other carbon-contining fertilizers,194.217263506173,,,Summary1.As2,GERMANY,2019,Subsector,3.  Agriculture
J.  Other ,,52.5169937254842,0.84819708879214,Summary1.As2,GERMANY,2019,Subsector,3.  Agriculture
A. Forest land (4),-49514.43772846271,1.56025987,1.57939483636,Summary1.As2,GERMANY,2019,Subsector,3.  Agriculture
B. Cropland (4),15388.165541459348,3.632593068,1.22559143,Summary1.As2,GERMANY,2019,Subsector,3.  Agriculture
