GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),727300.947214234,,,,,,,Summary1.As1,GERMANY,2014,Subsector,1. Energy
                                           Sectoral approach(2),744333.97269047,146.36310919,17.56582087,,,,,Summary1.As1,GERMANY,2014,Subsector,1. Energy
1.  Energy industries,345816.59958701,83.93138276,8.91580488,,,,,Summary1.As1,GERMANY,2014,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,116828.70554884,11.05812506,2.6250797,,,,,Summary1.As1,GERMANY,2014,Subsector,1. Energy
3.  Transport,158383.89907948,8.97149738,4.43259895,,,,,Summary1.As1,GERMANY,2014,Subsector,1. Energy
4.  Other sectors,122338.47028128,42.34121277,1.57947564,,,,,Summary1.As1,GERMANY,2014,Subsector,1. Energy
5.  Other,966.29819386,0.06089122,0.0128617,,,,,Summary1.As1,GERMANY,2014,Subsector,1. Energy
B. Fugitive emissions from fuels,2478.27104753,259.51758244,0.00377277,,,,,Summary1.As1,GERMANY,2014,Subsector,1. Energy
1.  Solid fuels,766.4774002500001,114.00991973,,,,,,Summary1.As1,GERMANY,2014,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,1711.7936472800002,145.50766271,0.00377277,,,,,Summary1.As1,GERMANY,2014,Subsector,1. Energy
