GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),728654.109411434,,,,,,,Summary1.As1,GERMANY,2017,Subsector,1. Energy
                                           Sectoral approach(2),731653.13510825,156.53399627,18.17369447,,,,,Summary1.As1,GERMANY,2017,Subsector,1. Energy
1.  Energy industries,308583.60823466,90.85716431,8.37582744,,,,,Summary1.As1,GERMANY,2017,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,128942.46513453,11.60250379,2.91748019,,,,,Summary1.As1,GERMANY,2017,Subsector,1. Energy
3.  Transport,167028.32924055,9.60590594,5.29021831,,,,,Summary1.As1,GERMANY,2017,Subsector,1. Energy
4.  Other sectors,126285.52582249,44.41225433,1.5811043,,,,,Summary1.As1,GERMANY,2017,Subsector,1. Energy
5.  Other,813.20667602,0.0561679,0.00906423,,,,,Summary1.As1,GERMANY,2017,Subsector,1. Energy
B. Fugitive emissions from fuels,2260.21086082,209.58363718,0.00382648,,,,,Summary1.As1,GERMANY,2017,Subsector,1. Energy
1.  Solid fuels,694.5200392600001,101.31388291,,,,,,Summary1.As1,GERMANY,2017,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,1565.69082156,108.26975427,0.00382648,,,,,Summary1.As1,GERMANY,2017,Subsector,1. Energy
