GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total national emissions and removals,Total,Total national emissions and removals,614363.2203847475,5419.626362665269,168.1944723172287,12582.825728160471,1243.0533429827867,0.05545701674504,1991
1. Energy,Total national emissions and removals,Energy,1. Energy,567624.8351479645,1517.5810701402088,12.25304941615515,,,,1991
A. Fuel combustion     Reference approach(2),Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),561819.3001640907,,,,,,1991
                                           Sectoral approach(2),Total national emissions and removals,Energy,                                           Sectoral approach(2),561364.4952109663,134.666319636846,12.10733110536919,,,,1991
1.  Energy industries,Total national emissions and removals,Energy,1.  Energy industries,235358.61786855172,9.29721397493072,4.77340798677118,,,,1991
2.  Manufacturing industries and construction                          ,Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,78754.59302728824,4.23589645258032,0.9826184811337,,,,1991
3.  Transport,Total national emissions and removals,Energy,3.  Transport,119332.13441367378,50.23476220136224,4.78927414518554,,,,1991
4.  Other sectors,Total national emissions and removals,Energy,4.  Other sectors,123617.75115968891,70.79002096943812,1.40432149937559,,,,1991
5.  Other,Total national emissions and removals,Energy,5.  Other,4301.39874176371,0.10842603853459,0.15770899290318,,,,1991
B. Fugitive emissions from fuels,Total national emissions and removals,Energy,B. Fugitive emissions from fuels,6260.33993699822,1382.9147505033627,0.14571831078596,,,,1991
1.  Solid fuels,Total national emissions and removals,Energy,1.  Solid fuels,1312.1340809408694,897.8325295255721,0.000122796,,,,1991
2.  Oil and natural gas and other emissions from energy production,Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,4948.2058560573505,485.0822209777906,0.14559551478596,,,,1991
2.  Industrial processes and product use,Total national emissions and removals,Other,2.  Industrial processes and product use,40751.71190583415,11.36160980369315,82.50653222248519,12582.825728160471,1243.0533429827867,0.05545701674504,1991
A.  Mineral industry,Total national emissions and removals,Other,A.  Mineral industry,8516.932429211069,,,,,,1991
B.  Chemical industry,Total national emissions and removals,Other,B.  Chemical industry,7493.080241436179,8.87472921355697,80.42189158861585,12549.850247320996,16.07851391469603,,1991
C.  Metal industry,Total national emissions and removals,Other,C.  Metal industry,24232.3036309544,1.47780118282677,0.06383472581813,,1148.136025095774,0.01698125,1991
D.  Non-energy products from fuels and solvent use ,Total national emissions and removals,Other,D.  Non-energy products from fuels and solvent use ,509.39560423250276,,,,,,1991
E.  Electronic industry ,Total national emissions and removals,Other,E.  Electronic industry ,,,,5.5085797132203,,,1991
F.  Product uses as substitutes for ODS,Total national emissions and removals,Other,F.  Product uses as substitutes for ODS,,,,27.46690112625593,,,1991
G.  Other product manufacture and use ,Total national emissions and removals,Other,G.  Other product manufacture and use ,,,2.02080590805121,,78.83880397231675,0.03847576674504,1991
H.  Other(3),Total national emissions and removals,Other,H.  Other(3),,1.00907940730941,,,,,1991
