GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total national emissions and removals,Total,Total national emissions and removals,490774.6576363848,2890.482014400067,76.75023506445102,10920.908323045656,174.2226674221379,0.02443735752603,2009
1. Energy,Total national emissions and removals,Energy,1. Energy,467560.6168792674,411.80302835049275,8.10932414119467,,,,2009
A. Fuel combustion     Reference approach(2),Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),460358.015459436,,,,,,2009
                                           Sectoral approach(2),Total national emissions and removals,Energy,                                           Sectoral approach(2),462679.9779429886,45.26990689308907,7.98086942824888,,,,2009
1.  Energy industries,Total national emissions and removals,Energy,1.  Energy industries,186028.34858719437,12.99551347075694,3.34769160419674,,,,2009
2.  Manufacturing industries and construction                          ,Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,49511.197687605905,2.5276557432652,0.63710641248808,,,,2009
3.  Transport,Total national emissions and removals,Energy,3.  Transport,123070.01917321469,8.5364793360642,3.23188454242907,,,,2009
4.  Other sectors,Total national emissions and removals,Energy,4.  Other sectors,101081.545915853,21.13162858697274,0.65672019489311,,,,2009
5.  Other,Total national emissions and removals,Energy,5.  Other,2988.866579120638,0.07862975602999,0.10746667424188,,,,2009
B. Fugitive emissions from fuels,Total national emissions and removals,Energy,B. Fugitive emissions from fuels,4880.638936278773,366.5331214574037,0.12845471294579,,,,2009
1.  Solid fuels,Total national emissions and removals,Energy,1.  Solid fuels,239.6757828603894,109.95094006596763,2.516364002e-05,,,,2009
2.  Oil and natural gas and other emissions from energy production,Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,4640.963153418384,256.58218139143605,0.12842954930577,,,,2009
2.  Industrial processes and product use,Total national emissions and removals,Other,2.  Industrial processes and product use,26432.812229520478,4.8621309752211,6.62424261658579,10920.908323045656,174.2226674221379,0.02443735752603,2009
A.  Mineral industry,Total national emissions and removals,Other,A.  Mineral industry,5829.125687641584,,,,,,2009
B.  Chemical industry,Total national emissions and removals,Other,B.  Chemical industry,5063.827203653892,3.78036744447003,3.86342218054325,75.805,14.21789102446808,,2009
C.  Metal industry,Total national emissions and removals,Other,C.  Metal industry,15045.195756026693,0.81604634476463,0.03682781347646,2.66136,64.12458,0.005566069,2009
D.  Non-energy products from fuels and solvent use ,Total national emissions and removals,Other,D.  Non-energy products from fuels and solvent use ,494.6635821983113,,,,,,2009
E.  Electronic industry ,Total national emissions and removals,Other,E.  Electronic industry ,,,,24.43149574664257,,,2009
F.  Product uses as substitutes for ODS,Total national emissions and removals,Other,F.  Product uses as substitutes for ODS,,,,10818.010467299013,0.2354927804142,,2009
G.  Other product manufacture and use ,Total national emissions and removals,Other,G.  Other product manufacture and use ,,,2.72399262256608,,95.64470361725562,0.01887128852603,2009
H.  Other(3),Total national emissions and removals,Other,H.  Other(3),,0.26571718598644,,,,,2009
