GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),131583.1346420068,,,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy
                                           Sectoral approach(2),119249.21270806623,17.53077667497447,2.06685991498969,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy
1.  Energy industries,60547.979,0.855001,0.7909277,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,21981.3563,1.5797401,0.29002774,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy
3.  Transport,9470.789220876235,2.57003612441147,0.59843299338169,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy
4.  Other sectors,7854.75418719,10.351599450563,0.142171481608,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy
5.  Other,19394.334,2.1744,0.2453,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy
B. Fugitive emissions from fuels,7074.89142979842,1662.5898080713425,0.05677347929862,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy
1.  Solid fuels,1277.0189809740396,436.42152071743004,0.017394176145,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,5797.872448824381,1226.1682873539125,0.03937930315362,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy
