GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),144410.3724145868,,,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy
                                           Sectoral approach(2),130392.53757952024,21.6441786582089,2.47573326893324,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy
1.  Energy industries,67415.148,1.002409,0.875433,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,25905.186,1.80112,0.336026,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy
3.  Transport,12678.713923780238,3.3863429054889,0.91867254847354,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy
4.  Other sectors,10496.22965574,13.65620675272,0.2010017204597,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy
5.  Other,13897.26,1.7981,0.1446,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy
B. Fugitive emissions from fuels,9068.989976281502,1724.3371059515212,0.07084612105432,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy
1.  Solid fuels,1325.02190423165,304.04336540503,0.018064507545,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,7743.968072049853,1420.293740546491,0.05278161350932,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy
