GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),152182.17908901346,,,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy
                                           Sectoral approach(2),146205.71173049387,24.63106349318682,2.71443533474129,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy
1.  Energy industries,76086.322,1.162234,0.983378,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,27044.2011,1.84011306,0.35660512,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy
3.  Transport,14190.05735864388,3.64636322582182,0.96481303571029,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy
4.  Other sectors,12940.30727185,15.954953207365,0.239039179031,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy
5.  Other,15944.824,2.0274,0.1706,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy
B. Fugitive emissions from fuels,9930.038534739204,1772.8050690464588,0.07814724518514,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy
1.  Solid fuels,1519.9595240889541,356.9825252434,0.0207459651,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,8410.07901065025,1415.8225438030588,0.05740128008514,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy
