GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),155822.42996936015,,,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy
                                           Sectoral approach(2),137070.45387382974,35.87142810028464,2.25440794701795,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy
1.  Energy industries,88086.69,1.395706,1.126222,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,13421.21,0.971,0.148712,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy
3.  Transport,7687.465282239752,2.43090042078584,0.57002817635195,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy
4.  Other sectors,26463.52559159,30.9325216794988,0.397425770666,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy
5.  Other,1411.563,0.1413,0.01202,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,5165.2959405877045,1565.8051587026343,0.04372176999546,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy
1.  Solid fuels,1315.24954462676,431.18984914931997,0.01794007398,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,3850.046395960944,1134.6153095533143,0.02578169601546,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy
