GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),127130.47098011344,,,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy
                                           Sectoral approach(2),112982.2722738338,19.40577377570168,2.19340447909069,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy
1.  Energy industries,63020.148,0.857538,0.855466,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,24530.503,1.713311,0.3232463,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy
3.  Transport,10459.759811733811,2.77923229082968,0.76855910151169,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy
4.  Other sectors,8220.0734621,13.223892484872,0.161533077579,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy
5.  Other,6751.788,0.8318,0.0846,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy
B. Fugitive emissions from fuels,7934.8820850403245,1577.9793588012399,0.06430570114088,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy
1.  Solid fuels,1437.1451372892025,296.8137545826,0.0196058739,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,6497.736947751122,1281.1656042186398,0.04469982724088,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy
