GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),184015.29604018017,,,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy
                                           Sectoral approach(2),149405.65613152628,37.49015811308663,2.51061631962001,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy
1.  Energy industries,96165.03,1.435717,1.248232,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,15485.409,1.1235,0.172623,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy
3.  Transport,8829.03353257627,2.90938929802913,0.66721745755601,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy
4.  Other sectors,27519.30459895,31.8802518150575,0.410523862064,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy
5.  Other,1406.879,0.1413,0.01202,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,4867.601676443483,1480.7954874010989,0.04251912096587,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy
1.  Solid fuels,1422.9717238448634,471.75464479452,0.01941269178,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,3444.6299525986187,1009.0408426065788,0.02310642918587,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy
