GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),121234.65014268678,,,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy
                                           Sectoral approach(2),96608.12201056325,16.75524844590884,1.70562889768788,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy
1.  Energy industries,53174.54,0.742999,0.694336,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,20238.8788,1.5666461,0.27065271,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy
3.  Transport,6707.376033013257,2.11432158813004,0.47609036822588,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy
4.  Other sectors,6693.87017755,10.9541817577788,0.126849819462,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy
5.  Other,9793.457,1.3771,0.1377,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy
B. Fugitive emissions from fuels,6002.419017385989,1610.0732814291239,0.04736632334509,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy
1.  Solid fuels,988.5420102049416,361.20131846178003,0.01341639267,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,5013.877007181048,1248.871962967344,0.03394993067509,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy
