GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),270931.89880174026,,,Summary1.As1,KAZAKHSTAN,1992,Subsector,1. Energy
                                           Sectoral approach(2),209935.3200464491,80.43992584214125,3.76529320564537,Summary1.As1,KAZAKHSTAN,1992,Subsector,1. Energy
1.  Energy industries,116944.27,1.658194,1.543045,Summary1.As1,KAZAKHSTAN,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,33386.851,2.36468,0.36868,Summary1.As1,KAZAKHSTAN,1992,Subsector,1. Energy
3.  Transport,15437.655977589096,5.20254353130425,1.16363602024837,Summary1.As1,KAZAKHSTAN,1992,Subsector,1. Energy
4.  Other sectors,42713.42106886,71.063108310837,0.677912185397,Summary1.As1,KAZAKHSTAN,1992,Subsector,1. Energy
5.  Other,1453.122,0.1514,0.01202,Summary1.As1,KAZAKHSTAN,1992,Subsector,1. Energy
B. Fugitive emissions from fuels,6346.062523756796,2283.0332274312946,0.05696795223003,Summary1.As1,KAZAKHSTAN,1992,Subsector,1. Energy
1.  Solid fuels,2050.6903001474893,966.2887620348,0.0280853022,Summary1.As1,KAZAKHSTAN,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,4295.372223609306,1316.7444653964944,0.02888265003003,Summary1.As1,KAZAKHSTAN,1992,Subsector,1. Energy
