GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),238708.78416975355,,,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy
                                           Sectoral approach(2),185706.1917831419,61.32234217052096,3.21968126399102,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy
1.  Energy industries,107740.56,1.487535,1.431883,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,26287.545,1.893601,0.294344,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy
3.  Transport,12403.176051621887,4.06227637800996,0.91790273986402,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy
4.  Other sectors,37816.22073152,53.727529792511,0.563531524127,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy
5.  Other,1458.69,0.1514,0.01202,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,5643.920118702769,2019.8160789329595,0.05030235761081,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy
1.  Solid fuels,1797.7681276522324,836.52552319371,0.024588890565,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,3846.1519910505376,1183.2905557392494,0.02571346704581,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy
