GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),188389.5450488335,,,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy
                                           Sectoral approach(2),157146.65489897516,41.56648565680084,2.68803368480979,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy
1.  Energy industries,95361.61,1.345916,1.252532,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,17708.422,1.30397,0.202512,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy
3.  Transport,10402.399157505155,3.48525537647684,0.77175245926979,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy
4.  Other sectors,32242.03374147,35.280044280324,0.44921722554,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy
5.  Other,1432.19,0.1513,0.01202,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,5062.51513211989,1731.805994001297,0.04607765404834,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy
1.  Solid fuels,1709.609860114836,731.3702214629401,0.02336949441,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,3352.905272005054,1000.4357725383569,0.02270815963834,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy
