GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),173974.30052654684,,,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy
                                           Sectoral approach(2),155423.46033029674,29.91521571322347,2.7994620136205,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy
1.  Energy industries,87525.678,1.3345594,1.1318326,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,24757.281,1.866602,0.3441686,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy
3.  Transport,14617.82707228675,3.88375532424247,0.9431665533505,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy
4.  Other sectors,11736.71125801,20.642998988981,0.22069426027,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy
5.  Other,16785.963,2.1873,0.1596,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy
B. Fugitive emissions from fuels,11206.65336342099,1772.4547723241822,0.08743010854001,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy
1.  Solid fuels,1558.2179910807001,357.881346064,0.021271146,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,9648.435372340291,1414.573426260182,0.06615896254001,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy
