GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),166473.46753532015,,,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy
                                           Sectoral approach(2),168396.6809139405,26.27194035585359,2.91354372029309,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy
1.  Energy industries,91882.03,1.5185138,1.1526327,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,28368.338,2.071788,0.374746,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy
3.  Transport,16474.223827070517,4.62367422919459,0.94632881255709,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy
4.  Other sectors,10824.49808687,15.364164326659,0.223836207736,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy
5.  Other,20847.591,2.6938,0.216,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy
B. Fugitive emissions from fuels,11448.809842226254,1646.9552019328476,0.08892380056028,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy
1.  Solid fuels,1486.262616416391,327.3038940499,0.02027752485,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,9962.547225809863,1319.6513078829475,0.06864627571028,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy
