GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),135527.10860755012,,,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy
                                           Sectoral approach(2),121770.6216941043,32.1406830544259,2.05569931142645,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy
1.  Energy industries,77889.15,1.334587,0.973609,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,12875.086,0.89676,0.177801,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy
3.  Transport,6622.853061174302,2.0591238341234,0.56549918782945,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy
4.  Other sectors,14775.34563293,26.8188122203025,0.211770123597,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy
5.  Other,9608.187,1.0314,0.12702,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy
B. Fugitive emissions from fuels,6282.393963323962,1967.7258189352715,0.05018222669063,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy
1.  Solid fuels,1165.0786999639986,425.67503441054,0.01585861581,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,5117.315263359963,1542.0507845247314,0.03432361088063,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy
