GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,104681.87362175173,362.0818352462143,2.16810816520142,,,,Summary1.As1,CZECH REPUBLIC,1999,Sector
2.  Industrial processes and product use,11749.618173576619,2.15163586892308,3.7797277,635.8995123993112,1.08053100003472,0.00420773761613,Summary1.As1,CZECH REPUBLIC,1999,Sector
