GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
3.  Transport,11501.23361966006,3.29362583155796,0.37017762479806,,Summary1.As1,DENMARK,1993,Subsector,1. Energy,,
4.  Other sectors,9533.502862713878,8.42860555376884,0.21405258434666,,Summary1.As1,DENMARK,1993,Subsector,1. Energy,,
5.  Other,302.6169232278748,0.0945323694732,0.00856093417715,,Summary1.As1,DENMARK,1993,Subsector,1. Energy,,
B. Fugitive emissions from fuels,582.01716851983,7.50078787600192,0.00059357061571,,Summary1.As1,DENMARK,1993,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,582.01716851983,7.50078787600192,0.00059357061571,,Summary1.As1,DENMARK,1993,Subsector,1. Energy,,
A.  Mineral industry,1337.157025519,,,,Summary1.As1,DENMARK,1993,Subsector,1. Energy,,
C.  Metal industry,36.152,,,0.0015,Summary1.As1,DENMARK,1993,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,174.6450787804949,0.01203145054804,0.0002254992624,,Summary1.As1,DENMARK,1993,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,DENMARK,1993,Subsector,2.  Industrial processes and product use,100.80397912275,
G.  Other product manufacture and use ,0.069922275,0.0808081631,0.063283429588,0.002796525,Summary1.As1,DENMARK,1993,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,1993,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),61975.67715643844,,,,Summary1.As1,DENMARK,1994,Subsector,1. Energy,,
                                           Sectoral approach(2),63069.025886573945,18.18371132266651,1.19880190120195,,Summary1.As1,DENMARK,1994,Subsector,1. Energy,,
1.  Energy industries,35896.955529987266,6.07640632454889,0.3949650504045,,Summary1.As1,DENMARK,1994,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6000.35860697238,0.32665247542652,0.20173815242948,,Summary1.As1,DENMARK,1994,Subsector,1. Energy,,
3.  Transport,11906.52545141954,3.22572675096499,0.38615046938123,,Summary1.As1,DENMARK,1994,Subsector,1. Energy,,
4.  Other sectors,8944.68514934058,8.45842463980708,0.20673728576829,,Summary1.As1,DENMARK,1994,Subsector,1. Energy,,
5.  Other,320.5011488541767,0.09650113191903,0.00921094321845,,Summary1.As1,DENMARK,1994,Subsector,1. Energy,,
B. Fugitive emissions from fuels,574.908725622242,7.76227220648764,0.00058848280101,,Summary1.As1,DENMARK,1994,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,574.908725622242,7.76227220648764,0.00058848280101,,Summary1.As1,DENMARK,1994,Subsector,1. Energy,,
A.  Mineral industry,1398.120609446,,,,Summary1.As1,DENMARK,1994,Subsector,1. Energy,,
C.  Metal industry,33.672,,,0.0019,Summary1.As1,DENMARK,1994,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,194.877546250324,0.0110374579942,0.00026919444,,Summary1.As1,DENMARK,1994,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,DENMARK,1994,Subsector,2.  Industrial processes and product use,144.51125729775,0.06675
G.  Other product manufacture and use ,0.0848880725,0.07438927585,0.062705583183,0.003280297625,Summary1.As1,DENMARK,1994,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,1994,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),58929.59043027609,,,,Summary1.As1,DENMARK,1995,Subsector,1. Energy,,
                                           Sectoral approach(2),60028.43570812999,23.97588946421826,1.24833701882399,,Summary1.As1,DENMARK,1995,Subsector,1. Energy,,
1.  Energy industries,32383.12259059485,11.41180401383924,0.38183416523844,,Summary1.As1,DENMARK,1995,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6145.43791292288,0.38977143001909,0.25554523580188,,Summary1.As1,DENMARK,1995,Subsector,1. Energy,,
3.  Transport,12053.19155318021,3.06488376856665,0.39264228771687,,Summary1.As1,DENMARK,1995,Subsector,1. Energy,,
4.  Other sectors,9122.03112885501,9.00729367938107,0.2099341578749,,Summary1.As1,DENMARK,1995,Subsector,1. Energy,,
5.  Other,324.6525225770407,0.10213657241221,0.0083811721919,,Summary1.As1,DENMARK,1995,Subsector,1. Energy,,
B. Fugitive emissions from fuels,453.813398402256,7.78101317230808,0.00049941351173,,Summary1.As1,DENMARK,1995,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,453.813398402256,7.78101317230808,0.00049941351173,,Summary1.As1,DENMARK,1995,Subsector,1. Energy,,
A.  Mineral industry,1459.014449755,,,,Summary1.As1,DENMARK,1995,Subsector,1. Energy,,
C.  Metal industry,38.749,,,0.0015,Summary1.As1,DENMARK,1995,Subsector,2.  Industrial processes and product use,,
