GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),15885.84901327407,,,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy
                                           Sectoral approach(2),15292.056084450202,1.80559487555883,0.16615838658418,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy
1.  Energy industries,12207.318505055928,0.06939706672797,0.01888195800567,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,858.7802027143616,0.04525754640717,0.00964524458934,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy
3.  Transport,1660.9056478030395,0.5075651253479,0.11271289732827,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy
4.  Other sectors,565.051728876871,1.18337513707579,0.0249182866609,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy
B. Fugitive emissions from fuels,0.04579496455788,1.206095101488,,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.04579496455788,1.206095101488,,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy
A.  Mineral industry,387.47378348079224,,,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy
B.  Chemical industry,203.1171300097721,,,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy
