GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
F.  Product uses as substitutes for ODS,,,,216.43078824850508,,Summary1.As1,ESTONIA,2015,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.012978228125,,0.0001030938206,Summary1.As1,ESTONIA,2015,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,Summary1.As1,ESTONIA,2015,Subsector,2.  Industrial processes and product use
