GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),75.77945763706107,,,,,Summary1.As1,MONACCO,2015,Subsector,1. Energy
                                           Sectoral approach(2),75.76538046158268,0.00568880108647,0.0076100387224,,,Summary1.As1,MONACCO,2015,Subsector,1. Energy
1.  Energy industries,21.70576496509034,8.354952856e-05,0.00455288327438,,,Summary1.As1,MONACCO,2015,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4.36218213749999,0.00020878359635,0.00131732365047,,,Summary1.As1,MONACCO,2015,Subsector,1. Energy
3.  Transport,26.00396279162811,0.00506497180569,0.00144346694353,,,Summary1.As1,MONACCO,2015,Subsector,1. Energy
4.  Other sectors,23.69347056736424,0.00033149615587,0.00029636485402,,,Summary1.As1,MONACCO,2015,Subsector,1. Energy
B. Fugitive emissions from fuels,0.00036363,0.022622062,,,,Summary1.As1,MONACCO,2015,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.00036363,0.022622062,,,,Summary1.As1,MONACCO,2015,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,0.0426822709956,8.32173308e-06,1.93750459e-06,,,Summary1.As1,MONACCO,2015,Subsector,1. Energy
F.  Product uses as substitutes for ODS,,,,7.28940689378718,,Summary1.As1,MONACCO,2015,Subsector,1. Energy
