GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),103.12138189368504,,,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy
                                           Sectoral approach(2),104.35105656935994,0.01399886272233,0.00790032431492,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy
1.  Energy industries,23.08640475000365,5.919593133e-05,0.00455259708375,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,3.55850494158125,0.00015765188209,0.00098712901599,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy
3.  Transport,41.68619041212602,0.01333323012749,0.0019923345196,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy
4.  Other sectors,36.01995646564902,0.00044878478142,0.00036826369558,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,0.000804592,0.027733602,,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.000804592,0.027733602,,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,0.05116549353985,1.737405909e-05,2.40893612e-06,,,Summary1.As1,MONACCO,1996,Subsector,1. Energy
F.  Product uses as substitutes for ODS,,,,0.58154778661486,,Summary1.As1,MONACCO,1996,Subsector,1. Energy
