GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),91845.97056946675,,,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy
                                           Sectoral approach(2),101525.75050004951,17.93907501560105,1.89506451696641,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy
1.  Energy industries,29547.247931982765,0.79123052596103,0.59944900303146,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,23387.672315855652,1.2691080536606,0.39208860945401,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy
3.  Transport,20610.442905134692,5.62050528227136,0.59497618916257,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy
4.  Other sectors,27808.454175281535,10.25780875617973,0.3029439145845,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy
5.  Other,171.9331717948699,0.00042239752833,0.00560680073387,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,84.90428291754507,46.13060224381488,,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy
1.  Solid fuels,0.32993,17.2971,,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,84.57435291754508,28.83350224381488,,,,Summary1.As1,BELGIUM,1990,Subsector,1. Energy
