GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
E. Settlements (4),159.92110550413994,,0.00807375272053,Summary1.As2,BELGIUM,1991,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,-1066.6566849857295,,,Summary1.As2,BELGIUM,1991,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,123.93669608641761,,Summary1.As2,BELGIUM,1991,Subsector,"4.  Land use, land-use change and forestry  (4)"
B.  Biological treatment of solid waste (5),,0.10350075,0.013248096,Summary1.As2,BELGIUM,1991,Subsector,"4.  Land use, land-use change and forestry  (4)"
C.  Incineration and open burning of waste (5),301.1938171381621,0.00011833528534,0.00890025167809,Summary1.As2,BELGIUM,1991,Subsector,"4.  Land use, land-use change and forestry  (4)"
D.  Wastewater treatment and discharge,,37.24643709451585,0.4687645463313,Summary1.As2,BELGIUM,1991,Subsector,"4.  Land use, land-use change and forestry  (4)"
E.  Other (5),,,,Summary1.As2,BELGIUM,1991,Subsector,"4.  Land use, land-use change and forestry  (4)"
