GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
B.  Chemical industry,2590.3062081612898,0.70760552,12.773648,2034.77109,0.065245,Summary1.As1,BELGIUM,1990,Subsector,2.  Industrial processes and product use
C.  Metal industry,10091.924835037516,0.54658324,,,,Summary1.As1,BELGIUM,1990,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,201.8548861724781,,,,,Summary1.As1,BELGIUM,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.67922374428404,,0.00566727385536,Summary1.As1,BELGIUM,1990,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,Summary1.As1,BELGIUM,1990,Subsector,2.  Industrial processes and product use
