GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
B.  Chemical industry,2557.5248306344088,0.70432283,12.45014195,1947.00799,0.061637,Summary1.As1,BELGIUM,1991,Subsector,2.  Industrial processes and product use
C.  Metal industry,9582.427222551338,0.49715876,,,,Summary1.As1,BELGIUM,1991,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,171.09392813075385,,,,,Summary1.As1,BELGIUM,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.67315925661335,,0.00571593285536,Summary1.As1,BELGIUM,1991,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,Summary1.As1,BELGIUM,1991,Subsector,2.  Industrial processes and product use
