GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level
1. Energy,45156.67003227413,56.24063416143572,1.12446475984133,,,Summary1.As1,BULGARIA,2006,Sector
2.  Industrial processes and product use,6587.996194444333,1.441766,1.66607602150564,245.38476762813292,0.00037208007993,Summary1.As1,BULGARIA,2006,Sector
