GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
3.  Agriculture,58.27884961330216,76.90814245562542,14.38944361861047,Summary1.As2,BULGARIA,2018,Sector
"4.  Land use, land-use change and forestry  (4)",-9812.34557378957,0.135225486,0.92418232876382,Summary1.As2,BULGARIA,2018,Sector
5.  Waste,6.76743331,106.19746442707348,0.49451794610803,Summary1.As2,BULGARIA,2018,Sector
