GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
Total national emissions and removals,568441.0823483546,3616.8859147390417,87.7989264444471,8677.174859644147,366.13838284421047,0.04480063068911
1. Energy,533765.6345130343,492.31197591309655,10.33784718108434,,,
A. Fuel combustion     Reference approach(2),529805.0368135716,,,,,
                                           Sectoral approach(2),527767.0914892529,56.34581935137691,10.19032271811935,,,
1.  Energy industries,213862.09407176732,13.82099701742705,4.04662244990484,,,
2.  Manufacturing industries and construction                          ,66049.36977833149,2.89438819095705,0.79590702398832,,,
3.  Transport,131936.74624610224,15.86533291667078,4.5564887933769,,,
4.  Other sectors,113072.54980830329,23.69120376610375,0.68835811581667,,,
5.  Other,2846.3315847485546,0.07389746021828,0.10294633503262,,,
B. Fugitive emissions from fuels,5998.543023781423,435.96615656171963,0.14752446296499,,,
1.  Solid fuels,161.446352564963,154.7600592095866,0.0001429812,,,
2.  Oil and natural gas and other emissions from energy production,5837.096671216459,281.20609735213304,0.14738148176499,,,
2.  Industrial processes and product use,36182.829288987385,5.37330211544787,12.32065621231824,8677.174859644147,366.13838284421047,0.04480063068911
A.  Mineral industry,9021.22289645468,,,,,
B.  Chemical industry,6380.462418097132,3.74248600458543,9.50985495045854,446.23983184,136.84720111050413,
C.  Metal industry,20265.218732113626,1.11663824469567,0.05628532346957,,103.85345696783337,0.0103364275
D.  Non-energy products from fuels and solvent use ,515.9252423219475,,,,,
E.  Electronic industry ,,,,16.48511973542861,,
F.  Product uses as substitutes for ODS,,,,8214.449908068718,3.20394859362821,
G.  Other product manufacture and use ,,,2.75451593839013,,122.23377617224476,0.03446420318911
H.  Other(3),,0.51417786616677,,,,
