GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,44117.703095058525,0.27840519818933,1.57773745330164
Aviation,32591.419233843128,0.11036024896859,1.03475777424824
Navigation,11526.2838612154,0.16804494922074,0.5429796790534
CO2 emissions from biomass,27558.495887359684,,
Indirect N2O,,,5.35821790433247
