GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,36130.4504167051,0.36500020265632,1.31961397230708
Aviation,25007.96294862023,0.19763562928964,0.79398843927852
Navigation,11122.487468084873,0.16736457336668,0.52562553302856
CO2 emissions from biomass,6782.96919523534,,
Indirect N2O,,,10.67565725791487
