GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,26756.47342960094,0.34796712575219,0.98572963008135
Aviation,17959.13205968148,0.21693632810608,0.57019307502949
Navigation,8797.34136991946,0.13103079764611,0.41553655505186
CO2 emissions from biomass,4368.916794738579,,
Indirect N2O,,,12.5886546559784
