GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,21911.3271320757,0.16292062822542,0.82337045971994
Aviation,13132.374702319506,0.03792375335721,0.416944912793
Navigation,8778.952429756197,0.12499687486821,0.40642554692694
CO2 emissions from biomass,47451.15837357332,,
Indirect N2O,,,3.6048991328671
