GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,23987.35844615629,0.38217180477497,0.89828170078315
Aviation,15149.265222522994,0.2514301099272,0.48098077246792
Navigation,8838.093223633296,0.13074169484777,0.41730092831523
CO2 emissions from biomass,3930.222437793754,,
Indirect N2O,,,13.50517806928186
