GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,45320.48344367323,0.30689145941361,1.63355066732475
Aviation,32927.64835344741,0.1056444341348,1.04543286023651
Navigation,12392.835090225817,0.20124702527881,0.58811780708824
CO2 emissions from biomass,18902.256178932617,,
Indirect N2O,,,5.92244306231513
