GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,43009.11212350855,0.28859077189583,1.54673157545436
Aviation,31449.032749777434,0.1018028416023,0.99848771072437
Navigation,11560.07937373112,0.18678793029353,0.54824386472999
CO2 emissions from biomass,18296.77599079265,,
Indirect N2O,,,6.32657524851789
