GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,25817.507716357057,0.36438727366065,0.95955047409246
Aviation,16767.806568495555,0.2308766684084,0.53236848562812
Navigation,9049.701147861502,0.13351060525225,0.42718198846434
CO2 emissions from biomass,4251.335368228465,,
Indirect N2O,,,13.22923039146129
