GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,45671.34275715208,0.32426258633407,1.6565934526224
Aviation,32521.35759283096,0.11033963242093,1.03253341497871
Navigation,13149.98516432112,0.21392295391314,0.62406003764369
CO2 emissions from biomass,16128.167827254476,,
Indirect N2O,,,6.4806641727606
