GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,24271.88183065447,0.44290986744877,0.90837589239406
Aviation,15390.61599457615,0.31000786325955,0.48864381283995
Navigation,8881.265836078323,0.13290200418922,0.41973207955411
CO2 emissions from biomass,3849.1392108948125,,
Indirect N2O,,,13.80953057549712
