GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O
International bunkers,43570.54914575791,0.26731245229533,1.52132899514195
Aviation,34744.777815568275,0.12970557902382,1.10312564074477
Navigation,8825.771330189642,0.13760687327151,0.41820335439718
CO2 emissions from biomass,11700.535646935177,,
Indirect N2O,,,8.78587418272325
