GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,1020.5033795478261,1193.3421427870567,25.32138979539214,,Summary1.As2,NEW ZEALAND,2019,Sector
"4.  Land use, land-use change and forestry  (4)",-24267.08093199577,3.29782096027346,0.88233975820549,,Summary1.As2,NEW ZEALAND,2019,Sector
5.  Waste,90.26279704108948,122.25722209970085,0.55157502535777,,Summary1.As2,NEW ZEALAND,2019,Sector
6.  Other   (please specify)(6),2.54004132253352,0.0590290654202,0.00017151139228,0.23346908339192,Summary1.As2,NEW ZEALAND,2019,Sector
