GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,1033.9005688849297,1195.6784022302006,22.82513561129836,,Summary1.As2,NEW ZEALAND,2002,Sector
"4.  Land use, land-use change and forestry  (4)",-26436.112462534405,3.02628853783822,1.35634643949043,,Summary1.As2,NEW ZEALAND,2002,Sector
5.  Waste,131.5994733547212,168.5447594748046,0.4187990302555,,Summary1.As2,NEW ZEALAND,2002,Sector
6.  Other   (please specify)(6),1.48282927971535,0.08032574999838,0.00015119498936,0.05475007567618,Summary1.As2,NEW ZEALAND,2002,Sector
