GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,995.8202157855158,1195.0837803146608,22.78617799251558,,Summary1.As2,NEW ZEALAND,2007,Sector
"4.  Land use, land-use change and forestry  (4)",-22170.389341341892,5.83647804407317,1.37211814425956,,Summary1.As2,NEW ZEALAND,2007,Sector
5.  Waste,114.87657633113878,156.11629589504489,0.42634081911491,,Summary1.As2,NEW ZEALAND,2007,Sector
6.  Other   (please specify)(6),2.47574541111911,0.07487133642263,0.00012414060682,0.09845809036012,Summary1.As2,NEW ZEALAND,2007,Sector
