GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,998.1462960811594,1179.5960545862597,24.71636559067846,,Summary1.As2,NEW ZEALAND,2016,Sector
"4.  Land use, land-use change and forestry  (4)",-26478.292949828672,4.37541606295842,0.95107727168377,,Summary1.As2,NEW ZEALAND,2016,Sector
5.  Waste,100.78089335411383,128.28866486844558,0.51145427124708,,Summary1.As2,NEW ZEALAND,2016,Sector
6.  Other   (please specify)(6),1.70504174271299,0.0587675751488,0.00012868449114,0.23461296113458,Summary1.As2,NEW ZEALAND,2016,Sector
