GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,22486.662213987813,46.95663613107918,0.7373333051463,,,Summary1.As1,NEW ZEALAND,1990,Sector
2.  Industrial processes and product use,2519.9565575373804,1.104,0.34377660773998,909.9493480000001,0.000876,Summary1.As1,NEW ZEALAND,1990,Sector
