GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,568.0052800665874,1184.1760320017663,20.66585369816028,,Summary1.As2,NEW ZEALAND,1997,Sector
"4.  Land use, land-use change and forestry  (4)",-22801.33132014161,3.43092538116917,1.36610403292275,,Summary1.As2,NEW ZEALAND,1997,Sector
5.  Waste,139.87072054617823,164.96814425902994,0.40366383237342,,Summary1.As2,NEW ZEALAND,1997,Sector
6.  Other   (please specify)(6),1.40657369546412,0.06875605571604,0.00020526065546,0.01994314815158,Summary1.As2,NEW ZEALAND,1997,Sector
