GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,1056.7803060078838,1193.9333380877372,23.87227377708339,,Summary1.As2,NEW ZEALAND,2012,Sector
"4.  Land use, land-use change and forestry  (4)",-26972.741457843116,3.00204674723419,1.17585696785389,,Summary1.As2,NEW ZEALAND,2012,Sector
5.  Waste,105.56612796600159,135.0716416391317,0.45401309456395,,Summary1.As2,NEW ZEALAND,2012,Sector
6.  Other   (please specify)(6),2.3197282966637,0.0690313436729,0.00013346344256,0.18270928813243,Summary1.As2,NEW ZEALAND,2012,Sector
