GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,942.6376946370916,1147.6078692232345,22.7038351593972,,Summary1.As2,NEW ZEALAND,2008,Sector
"4.  Land use, land-use change and forestry  (4)",-29814.327040444583,3.05719887080584,1.22327791430705,,Summary1.As2,NEW ZEALAND,2008,Sector
5.  Waste,109.9107524660032,152.91234663154816,0.4263443311286,,Summary1.As2,NEW ZEALAND,2008,Sector
6.  Other   (please specify)(6),2.49195400291238,0.07399016432355,0.00013229660293,0.11553742635695,Summary1.As2,NEW ZEALAND,2008,Sector
