GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,31919.803420107284,49.35468453336503,1.1213483500261,,,,Summary1.As1,NEW ZEALAND,2007,Sector
2.  Industrial processes and product use,3376.8667499328376,0.9997663,0.14785,858.7875701531402,48.40546,0.0008716940578,Summary1.As1,NEW ZEALAND,2007,Sector
