GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,965.934590481076,1202.8354999606263,23.97022280482583,,Summary1.As2,NEW ZEALAND,2013,Sector
"4.  Land use, land-use change and forestry  (4)",-26622.61810040593,2.95609110876374,1.13240931545306,,Summary1.As2,NEW ZEALAND,2013,Sector
5.  Waste,102.9099633308051,133.07034145509874,0.46456838846962,,Summary1.As2,NEW ZEALAND,2013,Sector
6.  Other   (please specify)(6),1.62444548883521,0.06639210088417,0.0001313133879,0.19572842169127,Summary1.As2,NEW ZEALAND,2013,Sector
