GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,582.3768012905475,1143.452324860864,20.16002272415274,,Summary1.As2,NEW ZEALAND,1995,Sector
"4.  Land use, land-use change and forestry  (4)",-22282.99266812625,3.06031069223178,1.26657906179594,,Summary1.As2,NEW ZEALAND,1995,Sector
5.  Waste,136.25918443913568,159.28580750664887,0.3924945780941,,Summary1.As2,NEW ZEALAND,1995,Sector
6.  Other   (please specify)(6),1.37532941868278,0.06755429715834,0.00022725459984,0.00843137235762,Summary1.As2,NEW ZEALAND,1995,Sector
