GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,1001.7259659101926,1210.7100818193967,23.59561951267615,,Summary1.As2,NEW ZEALAND,2003,Sector
"4.  Land use, land-use change and forestry  (4)",-27568.43871780984,3.24454931126872,1.34407266031167,,Summary1.As2,NEW ZEALAND,2003,Sector
5.  Waste,123.41827811718024,165.04615942169676,0.41933962255743,,Summary1.As2,NEW ZEALAND,2003,Sector
6.  Other   (please specify)(6),1.49693142663397,0.07928928766307,0.00014106643016,0.06698814962649,Summary1.As2,NEW ZEALAND,2003,Sector
